"ID_st","Eligible","Exclude_reason","ID_P","ID_subgroup","ID_iv","ID_dv","ID_report","ID_Wave","Authors","AUTHO0","AUTHO1","Pub_Year","Title","Journal","Doi","Pub_type","Design","Waves","Age_measure","Age_m_iv","Age_sd_iv","Age_m_dv","Age_sd_dv","male","N","N_m","N_f","SES","SES0","Country","P_Instrument","P_INS0","P_OBS","P_PR","P_SPR","P_CR","P_MIX","P_Inv","P_pos","P_Neg","P_Inc","P_War","P_Acc","P_Sen","P_Sup","P_Mon_poor","P_Mon","P_dir","P_Dem","P_Aut","P_prot","P_Con","P_Str_Con","P_B_Con","P_P_Con","P_Pun","P_Dis_indu","P_Dis","P_C_Dis","P_I_Dis","P_Hos","P_cor_pun","P_har","P_Rej","PB_instrument","PB_OBS","PB_PR","PB_PR_WHOM","PB_CR","PB_TR","PB_FR","PB_MIX","PB_PB","PB_toM","PB_toF","PB_toFR","PB_toFAM","PB_toSTR","PB_Alt","PB_Emp","PB_Sym","PB_com","PB_coop","PB_sha","M_IV","M_IV_SD","M_DV","M_DV_SD","R","R_m_f","B","ID_Copy","Eligible_copy","Lableparenting_copy","P_W","P_S","P_P","P_C","P_I","P_H","P_po","P_ne","ID","p_negative","id_merge","R_f"
24,"yes","correlations between mother and father needed                                                                                                                                                                                                                  ","mother","boys                                                                                                ","warmth                                                                                              ","Engaged                                                                                             ","TR                                                                                                  ","1-2                                                                                                 ","Hastings, McShane, Parker, & Ladha                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2007,"Ready to make nice: Parental socialization of young sons' and daughters' prosocial behaviors with peers.                                                                                                                                                       ","The Journal of Genetic Psychology: Research and Theory on Human Development                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","journal article","longitudinal",2,"Years",3.5,0.76,4,NA,100,61,NA,NA,"60% univeristy degree, Mhousehold income M=80229,17 and Mode = 50000, SD = 47777,21.                                                                                                                                                                           ","                                                ","Canada                                                                                                                                                                                                                                                         ","CRPR Q-sort                                                                                                                                                                                                                                                    ","                                                ","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","social competence and behavior evaluation, for observation peer interactions in a lab                                                                                                          ","Nee","Nee","0","Nee","Ja","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,-0.09,NA,NA,NA,NA,"                                                                                                    ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",24,FALSE,"24_boys_warmth_Engaged_TR_1-2_NA",-0.11
28,"yes","Sample size? Separate correlations without latent factor+ correlations of parenting between parents                                                                                                                                                            ","mother","                                                                                                    ","Beh. control                                                                                        ","Prosocial Behavior                                                                                  ","                                                                                                    ","        1                                                                                           ","Kuppens, Grietens, Onghena, & Michiels                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2009,"Measuring parenting dimensions in middle childhood multitrait-Multimethod analysis of child, mother, and father ratings.                                                                                                                                       ","European Journal of Psychological Assessment                                                                                                                                                                                                                   ","10.1027/1015-5759.25.3.133                                                                                                                                                                                                                                     ","journal article","cross",0,"Years",9.27,0.83,9.27,0.83,50.167,588,NA,NA,"Average education M+F                                                                                                                                                                                                                                          ","                                                ","Belgium                                                                                                                                                                                                                                                        ","1  PCS -YSR (8 items) 2 and 3 Ghent Parental behavior scale (16 items)                                                                                                                                                                                         ","                                                ","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","SDQ (5 items)                                                                                                                                                                                  ","Nee","Nee","0","Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.33,NA,NA,28,"yes","Beh. control                                                                                        ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee",28,FALSE,"28__Beh.control_ProsocialBehavior__1_28",0.18
28,"yes","Sample size? Separate correlations without latent factor+ correlations of parenting between parents                                                                                                                                                            ","mother","                                                                                                    ","Support                                                                                             ","Prosocial Behavior                                                                                  ","                                                                                                    ","        1                                                                                           ","Kuppens, Grietens, Onghena, & Michiels                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2009,"Measuring parenting dimensions in middle childhood multitrait-Multimethod analysis of child, mother, and father ratings.                                                                                                                                       ","European Journal of Psychological Assessment                                                                                                                                                                                                                   ","10.1027/1015-5759.25.3.133                                                                                                                                                                                                                                     ","journal article","cross",0,"Years",9.27,0.83,9.27,0.83,50.167,588,NA,NA,"Average education M+F                                                                                                                                                                                                                                          ","                                                ","Belgium                                                                                                                                                                                                                                                        ","1  PCS -YSR (8 items) 2 and 3 Ghent Parental behavior scale (16 items)                                                                                                                                                                                         ","                                                ","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","SDQ (5 items)                                                                                                                                                                                  ","Nee","Nee","0","Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.33,NA,NA,28,"yes","Support                                                                                             ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",28,FALSE,"28__Support_ProsocialBehavior__1_28",0.21
28,"yes","Sample size? Separate correlations without latent factor+ correlations of parenting between parents                                                                                                                                                            ","mother","                                                                                                    ","Psyc. control                                                                                       ","Prosocial Behavior                                                                                  ","                                                                                                    ","        1                                                                                           ","Kuppens, Grietens, Onghena, & Michiels                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2009,"Measuring parenting dimensions in middle childhood multitrait-Multimethod analysis of child, mother, and father ratings.                                                                                                                                       ","European Journal of Psychological Assessment                                                                                                                                                                                                                   ","10.1027/1015-5759.25.3.133                                                                                                                                                                                                                                     ","journal article","cross",0,"Years",9.27,0.83,9.27,0.83,50.167,588,NA,NA,"Average education M+F                                                                                                                                                                                                                                          ","                                                ","Belgium                                                                                                                                                                                                                                                        ","1  PCS -YSR (8 items) 2 and 3 Ghent Parental behavior scale (16 items)                                                                                                                                                                                         ","                                                ","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","SDQ (5 items)                                                                                                                                                                                  ","Nee","Nee","0","Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.3,NA,NA,28,"yes","Psyc. control                                                                                       ","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee",28,TRUE,"28__Psyc.control_ProsocialBehavior__1_28",0.22
30,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","Monitoring                                                                                          ","Prosocial Behavior                                                                                  ","                                                                                                    ","1-1                                                                                                 ","Lansford, L., Godwin, J; AlHassan, S M; Bacchini, D; Bornstein, M H; Chang, L; Chen, B; DeaterDeckard, K; Di Giunta, L; Dodge, K A; Malone, P S; Oburu, P; Pastorelli, C; Skinner, A T; Sorbring, E; Steinberg, L; Tapanya, S; Alampay, Liane P; Uribe T; Lilia","na, M; Zelli, A                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                               ",2018,"Longitudinal Associations Between Parenting and Youth Adjustment in Twelve Cultural Groups: Cultural Normativeness of Parenting as a Moderator                                                                                                                 ","Developmental Psychology                                                                                                                                                                                                                                       ","10.1037/dev0000416                                                                                                                                                                                                                                             ","journal article","cross",NA,"Years",10.4,0.73,10.4,0.73,49,1298,1275,1032,"Income and education, no specification                                                                                                                                                                                                                         ","                                                ","CN, CO, IT, JO, KW, PH, SE, TH, US                                                                                                                                                                                                                             ","10 questions assessing parental monitoring                                                                                                                                                                                                                     ","                                                ","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Prosocial behavior scale (Pastorelli, Barbaranelli, Cermak, Rozsa, & Caprara, 1997)                                                                                                            ","Nee","Ja","0","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.097,0.393,-0.074,30,"yes","Monitoring                                                                                          ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee",30,FALSE,"30__Monitoring_ProsocialBehavior__1-1_30",0.136
30,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","Behavioral Control                                                                                  ","Prosocial Behavior                                                                                  ","                                                                                                    ","1-1                                                                                                 ","Lansford, L., Godwin, J; AlHassan, S M; Bacchini, D; Bornstein, M H; Chang, L; Chen, B; DeaterDeckard, K; Di Giunta, L; Dodge, K A; Malone, P S; Oburu, P; Pastorelli, C; Skinner, A T; Sorbring, E; Steinberg, L; Tapanya, S; Alampay, Liane P; Uribe T; Lilia","na, M; Zelli, A                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                               ",2018,"Longitudinal Associations Between Parenting and Youth Adjustment in Twelve Cultural Groups: Cultural Normativeness of Parenting as a Moderator                                                                                                                 ","Developmental Psychology                                                                                                                                                                                                                                       ","10.1037/dev0000416                                                                                                                                                                                                                                             ","journal article","cross",NA,"Years",10.4,0.73,10.4,0.73,49,1298,1275,1032,"Income and education, no specification                                                                                                                                                                                                                         ","                                                ","CN, CO, IT, JO, KW, PH, SE, TH, US                                                                                                                                                                                                                             ","10 questions assessing parental monitoring                                                                                                                                                                                                                     ","                                                ","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Prosocial behavior scale (Pastorelli, Barbaranelli, Cermak, Rozsa, & Caprara, 1997)                                                                                                            ","Nee","Ja","0","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.019,0.355,-0.146,30,"yes","Behavioral Control                                                                                  ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee",30,FALSE,"30__BehavioralControl_ProsocialBehavior__1-1_30",0.073
30,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","Warmth                                                                                              ","Prosocial Behavior                                                                                  ","                                                                                                    ","1-1                                                                                                 ","Lansford, L., Godwin, J; AlHassan, S M; Bacchini, D; Bornstein, M H; Chang, L; Chen, B; DeaterDeckard, K; Di Giunta, L; Dodge, K A; Malone, P S; Oburu, P; Pastorelli, C; Skinner, A T; Sorbring, E; Steinberg, L; Tapanya, S; Alampay, Liane P; Uribe T; Lilia","na, M; Zelli, A                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                               ",2018,"Longitudinal Associations Between Parenting and Youth Adjustment in Twelve Cultural Groups: Cultural Normativeness of Parenting as a Moderator                                                                                                                 ","Developmental Psychology                                                                                                                                                                                                                                       ","10.1037/dev0000416                                                                                                                                                                                                                                             ","journal article","cross",NA,"Years",10.4,0.73,10.4,0.73,49,1298,1275,1032,"Income and education, no specification                                                                                                                                                                                                                         ","                                                ","CN, CO, IT, JO, KW, PH, SE, TH, US                                                                                                                                                                                                                             ","10 questions assessing parental monitoring                                                                                                                                                                                                                     ","                                                ","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Prosocial behavior scale (Pastorelli, Barbaranelli, Cermak, Rozsa, & Caprara, 1997)                                                                                                            ","Nee","Ja","0","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.189,0.423,0.167,30,"yes","Warmth                                                                                              ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",30,FALSE,"30__Warmth_ProsocialBehavior__1-1_30",0.185
30,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","Monitoring                                                                                          ","Prosocial Behavior                                                                                  ","                                                                                                    ","1-2                                                                                                 ","Lansford, L., Godwin, J; AlHassan, S M; Bacchini, D; Bornstein, M H; Chang, L; Chen, B; DeaterDeckard, K; Di Giunta, L; Dodge, K A; Malone, P S; Oburu, P; Pastorelli, C; Skinner, A T; Sorbring, E; Steinberg, L; Tapanya, S; Alampay, Liane P; Uribe T; Lilia","na, M; Zelli, A                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                               ",2018,"Longitudinal Associations Between Parenting and Youth Adjustment in Twelve Cultural Groups: Cultural Normativeness of Parenting as a Moderator                                                                                                                 ","Developmental Psychology                                                                                                                                                                                                                                       ","10.1037/dev0000416                                                                                                                                                                                                                                             ","journal article","longitudinal",NA,"Years",10.4,0.73,12.9,0.84,49,1298,1275,1032,"Income and education, no specification                                                                                                                                                                                                                         ","                                                ","CN, CO, IT, JO, KW, PH, SE, TH, US                                                                                                                                                                                                                             ","10 questions assessing parental monitoring                                                                                                                                                                                                                     ","                                                ","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Prosocial behavior scale (Pastorelli, Barbaranelli, Cermak, Rozsa, & Caprara, 1997)                                                                                                            ","Nee","Ja","0","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.031,0.393,-0.074,30,"yes","Monitoring                                                                                          ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee",30,FALSE,"30__Monitoring_ProsocialBehavior__1-2_30",0.068
30,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","Behavioral Control                                                                                  ","Prosocial Behavior                                                                                  ","                                                                                                    ","1-2                                                                                                 ","Lansford, L., Godwin, J; AlHassan, S M; Bacchini, D; Bornstein, M H; Chang, L; Chen, B; DeaterDeckard, K; Di Giunta, L; Dodge, K A; Malone, P S; Oburu, P; Pastorelli, C; Skinner, A T; Sorbring, E; Steinberg, L; Tapanya, S; Alampay, Liane P; Uribe T; Lilia","na, M; Zelli, A                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                               ",2018,"Longitudinal Associations Between Parenting and Youth Adjustment in Twelve Cultural Groups: Cultural Normativeness of Parenting as a Moderator                                                                                                                 ","Developmental Psychology                                                                                                                                                                                                                                       ","10.1037/dev0000416                                                                                                                                                                                                                                             ","journal article","longitudinal",NA,"Years",10.4,0.73,12.9,0.84,49,1298,1275,1032,"Income and education, no specification                                                                                                                                                                                                                         ","                                                ","CN, CO, IT, JO, KW, PH, SE, TH, US                                                                                                                                                                                                                             ","10 questions assessing parental monitoring                                                                                                                                                                                                                     ","                                                ","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Prosocial behavior scale (Pastorelli, Barbaranelli, Cermak, Rozsa, & Caprara, 1997)                                                                                                            ","Nee","Ja","0","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,-0.025,0.355,-0.146,30,"yes","Behavioral Control                                                                                  ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee",30,FALSE,"30__BehavioralControl_ProsocialBehavior__1-2_30",0.089
30,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","Warmth                                                                                              ","Prosocial Behavior                                                                                  ","                                                                                                    ","1-2                                                                                                 ","Lansford, L., Godwin, J; AlHassan, S M; Bacchini, D; Bornstein, M H; Chang, L; Chen, B; DeaterDeckard, K; Di Giunta, L; Dodge, K A; Malone, P S; Oburu, P; Pastorelli, C; Skinner, A T; Sorbring, E; Steinberg, L; Tapanya, S; Alampay, Liane P; Uribe T; Lilia","na, M; Zelli, A                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                               ",2018,"Longitudinal Associations Between Parenting and Youth Adjustment in Twelve Cultural Groups: Cultural Normativeness of Parenting as a Moderator                                                                                                                 ","Developmental Psychology                                                                                                                                                                                                                                       ","10.1037/dev0000416                                                                                                                                                                                                                                             ","journal article","longitudinal",NA,"Years",10.4,0.73,12.9,0.84,49,1298,1275,1032,"Income and education, no specification                                                                                                                                                                                                                         ","                                                ","CN, CO, IT, JO, KW, PH, SE, TH, US                                                                                                                                                                                                                             ","10 questions assessing parental monitoring                                                                                                                                                                                                                     ","                                                ","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Prosocial behavior scale (Pastorelli, Barbaranelli, Cermak, Rozsa, & Caprara, 1997)                                                                                                            ","Nee","Ja","0","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.152,0.423,0.167,30,"yes","Warmth                                                                                              ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",30,FALSE,"30__Warmth_ProsocialBehavior__1-2_30",0.15
33,"yes","parenting correlaties apart aanvragen voor zelf report en partner report                                                                                                                                                                                       ","mother","                                                                                                    ","warmth                                                                                              ","prosocial                                                                                           ","                                                                                                    ","2-3                                                                                                 ","McCoy, K. P., George, M. R. W., Cummings, E. M., & Davies, P. T.                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2013,"Constructive and destructive marital conflict, parenting, and children's school and social adjustment.                                                                                                                                                         ","Social Development                                                                                                                                                                                                                                             ","10.1111/sode.12015                                                                                                                                                                                                                                             ","journal article","longitudinal",2,"Years",6,0.5,7,NA,0.45,235,235,235,"Mean family income range was between 40.000 US dollar and 54999 dollar a year                                                                                                                                                                                  ","                                                ","US                                                                                                                                                                                                                                                             ","20 items from the Parental acceptance rejection qustionnaire assessing warmth                                                                                                                                                                                  ","                                                ","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","7 items from the Child Behavior Scale measuring prosocial behavior                                                                                                                             ","Nee","Ja","both","Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.37,0.72,NA,33,"yes","warmth                                                                                              ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",33,FALSE,"33__warmth_prosocial__2-3_33",0.34
33,"yes","parenting correlaties apart aanvragen voor zelf report en partner report                                                                                                                                                                                       ","mother","                                                                                                    ","inconsistent discipline                                                                             ","prosocial                                                                                           ","                                                                                                    ","2-3                                                                                                 ","McCoy, K. P., George, M. R. W., Cummings, E. M., & Davies, P. T.                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2013,"Constructive and destructive marital conflict, parenting, and children's school and social adjustment.                                                                                                                                                         ","Social Development                                                                                                                                                                                                                                             ","10.1111/sode.12015                                                                                                                                                                                                                                             ","journal article","longitudinal",2,"Years",6,0.5,7,NA,0.45,235,235,235,"Mean family income range was between 40.000 US dollar and 54999 dollar a year                                                                                                                                                                                  ","                                                ","US                                                                                                                                                                                                                                                             ","Alabama Parenting questionnaire                                                                                                                                                                                                                                ","                                                ","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","7 items from the Child Behavior Scale measuring prosocial behavior                                                                                                                             ","Nee","Ja","both","Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.2,0.63,NA,33,"yes","inconsistent discipline                                                                             ","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee",33,TRUE,"33__inconsistentdiscipline_prosocial__2-3_33",0.16
