"ID","NR","Eligible","Exclude_reason","ID_P","ID_subgroup","ID_iv","ID_dv","ID_report","ID_Wave","Authors","AUTHO0","AUTHO1","Pub_Year","Title","Journal","Doi","Pub_type","Design","Waves","Age_measure","Age_m_iv","Age_sd_iv","Age_m_dv","Age_sd_dv","male","N","N_m","N_f","SES","SES0","Country","P_Instrument","P_INS0","P_OBS","P_PR","P_SPR","P_CR","P_MIX","P_Inv","P_pos","P_Neg","P_Inc","P_War","P_Acc","P_Sen","P_Sup","P_Mon_poor","P_Mon","P_dir","P_Dem","P_Aut","P_prot","P_Con","P_Str_Con","P_B_Con","P_P_Con","P_Pun","P_Dis_indu","P_Dis","P_C_Dis","P_I_Dis","P_Hos","P_cor_pun","P_har","P_Rej","PB_instrument","PB_OBS","PB_PR","PB_PR_WHOM","PB_CR","PB_TR","PB_FR","PB_MIX","PB_PB","PB_toM","PB_toF","PB_toFR","PB_toFAM","PB_toSTR","PB_Alt","PB_Emp","PB_Sym","PB_com","PB_coop","PB_sha","M_IV","M_IV_SD","M_DV","M_DV_SD","R","R_m_f","B","P_W","P_S","P_P","P_C","P_I","P_H","P_po","P_ne","p_negative","id_merge","R_f","age_group","age_group3","same_reporter","observation","same_wave","country_group","p_dimension","p_cluster"
14,14,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","warmth                                                                                              ","                                                                                                    ","                                                                                                    ","1                                                                                                   ","Dekovic & Janssens                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ",NA,1992,"Parents' child-Rearing style and child's sociometric status.                                                                                                                                                                                                   ","Developmental Psychology                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","journal article","cross",1,"Years",8.5,NA,8.5,NA,50.89,112,NA,NA,"middle to higher class                                                                                                                                                                                                                                         ","                                                ","Netherlands                                                                                                                                                                                                                                                    ","Rating scales for parental behavior: support,  negativity, warmth, responsiveness, power assertion, induction, demandingness and restrictiveness and more verbal behavior                                                                                      ",NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Prosocial behavior questionnair and peer nominations on helpful                                                                                                                                ","Nee","Nee","0","Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.252,0.596,NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",FALSE,"14__warmth__",0.328,"Young","Med",FALSE,"survey","Yes","Western","positive","positive"
14,14,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","sensitivity                                                                                         ","                                                                                                    ","                                                                                                    ","1                                                                                                   ","Dekovic & Janssens                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ",NA,1992,"Parents' child-Rearing style and child's sociometric status.                                                                                                                                                                                                   ","Developmental Psychology                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","journal article","cross",1,"Years",8.5,NA,8.5,NA,50.89,112,NA,NA,"middle to higher class                                                                                                                                                                                                                                         ","                                                ","Netherlands                                                                                                                                                                                                                                                    ","Rating scales for parental behavior: support,  negativity, warmth, responsiveness, power assertion, induction, demandingness and restrictiveness and more verbal behavior                                                                                      ",NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Prosocial behavior questionnair and peer nominations on helpful                                                                                                                                ","Nee","Nee","0","Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.286,0.725,NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee",FALSE,"14__sensitivity__",0.338,"Young","Med",FALSE,"survey","Yes","Western","positive","positive"
14,14,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","inductive disc                                                                                      ","                                                                                                    ","                                                                                                    ","1                                                                                                   ","Dekovic & Janssens                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ",NA,1992,"Parents' child-Rearing style and child's sociometric status.                                                                                                                                                                                                   ","Developmental Psychology                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","journal article","cross",1,"Years",8.5,NA,8.5,NA,50.89,112,NA,NA,"middle to higher class                                                                                                                                                                                                                                         ","                                                ","Netherlands                                                                                                                                                                                                                                                    ","Rating scales for parental behavior: support,  negativity, warmth, responsiveness, power assertion, induction, demandingness and restrictiveness and more verbal behavior                                                                                      ",NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Prosocial behavior questionnair and peer nominations on helpful                                                                                                                                ","Nee","Nee","0","Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.254,0.437,NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee",FALSE,"14__inductivedisc__",0.301,"Young","Med",FALSE,"survey","Yes","Western","negative","control"
14,14,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","demandingness/autonomy supp?                                                                        ","                                                                                                    ","                                                                                                    ","1                                                                                                   ","Dekovic & Janssens                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ",NA,1992,"Parents' child-Rearing style and child's sociometric status.                                                                                                                                                                                                   ","Developmental Psychology                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","journal article","cross",1,"Years",8.5,NA,8.5,NA,50.89,112,NA,NA,"middle to higher class                                                                                                                                                                                                                                         ","                                                ","Netherlands                                                                                                                                                                                                                                                    ","Rating scales for parental behavior: support,  negativity, warmth, responsiveness, power assertion, induction, demandingness and restrictiveness and more verbal behavior                                                                                      ",NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Prosocial behavior questionnair and peer nominations on helpful                                                                                                                                ","Nee","Nee","0","Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.206,0.605,NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",FALSE,"14__demandingness/autonomysupp?__",0.28,"Young","Med",FALSE,"survey","Yes","Western","positive","positive"
14,14,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","power assertion                                                                                     ","                                                                                                    ","                                                                                                    ","1                                                                                                   ","Dekovic & Janssens                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ",NA,1992,"Parents' child-Rearing style and child's sociometric status.                                                                                                                                                                                                   ","Developmental Psychology                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","journal article","cross",1,"Years",8.5,NA,8.5,NA,50.89,112,NA,NA,"middle to higher class                                                                                                                                                                                                                                         ","                                                ","Netherlands                                                                                                                                                                                                                                                    ","Rating scales for parental behavior: support,  negativity, warmth, responsiveness, power assertion, induction, demandingness and restrictiveness and more verbal behavior                                                                                      ",NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Prosocial behavior questionnair and peer nominations on helpful                                                                                                                                ","Nee","Nee","0","Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.102,0.585,NA,"Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",TRUE,"14__powerassertion__",0.307,"Young","Med",FALSE,"survey","Yes","Western","negative","negative"
14,14,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","strict                                                                                              ","                                                                                                    ","                                                                                                    ","1                                                                                                   ","Dekovic & Janssens                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ",NA,1992,"Parents' child-Rearing style and child's sociometric status.                                                                                                                                                                                                   ","Developmental Psychology                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                               ","journal article","cross",1,"Years",8.5,NA,8.5,NA,50.89,112,NA,NA,"middle to higher class                                                                                                                                                                                                                                         ","                                                ","Netherlands                                                                                                                                                                                                                                                    ","Rating scales for parental behavior: support,  negativity, warmth, responsiveness, power assertion, induction, demandingness and restrictiveness and more verbal behavior                                                                                      ",NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Prosocial behavior questionnair and peer nominations on helpful                                                                                                                                ","Nee","Nee","0","Nee","Nee","Nee","Ja","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.114,0.469,NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee",FALSE,"14__strict__",0.348,"Young","Med",FALSE,"survey","Yes","Western","negative","control"
19,19,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","Positive Parenting                                                                                  ","Prosocial behavior                                                                                  ","                                                                                                    ","        1                                                                                           ","Gryczkowski, Jordan, & Mercer                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                               ",NA,2018,"Moderators of the Relations Between Mothers' and Fathers' Parenting Practices and Children's Prosocial Behavior                                                                                                                                                ","Child Psychiatry and Human Development                                                                                                                                                                                                                         ","10.1007%2Fs10578-017-                                                                                                                                                                                                                                          ","journal article","cross",1,"Years",11.58,3.47,11.58,3.47,50.4,129,129,129,"M=45,42 SD=9,80 (Hollingshead on scale from 8 to 66)                                                                                                                                                                                                           ","                                                ","US                                                                                                                                                                                                                                                             ","Alabama Parenting Questoinaire-Parent Report (42 items in total)                                                                                                                                                                                               ",NA,"Nee","Ja","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Social Skills Rating System (38 items)                                                                                                                                                         ","Nee","Ja","both","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",24.76,3.24,102.6,NA,0.17,NA,NA,"Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee",FALSE,"19__PositiveParenting_Prosocialbehavior_",0.34,"Old","Old",TRUE,"survey","Yes","Western","positive",NA
19,19,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","Monitoring (R)                                                                                      ","Prosocial behavior                                                                                  ","                                                                                                    ","        1                                                                                           ","Gryczkowski, Jordan, & Mercer                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                               ",NA,2018,"Moderators of the Relations Between Mothers' and Fathers' Parenting Practices and Children's Prosocial Behavior                                                                                                                                                ","Child Psychiatry and Human Development                                                                                                                                                                                                                         ","10.1007%2Fs10578-017-                                                                                                                                                                                                                                          ","journal article","cross",1,"Years",11.58,3.47,11.58,3.47,50.4,129,129,129,"M=45,42 SD=9,80 (Hollingshead on scale from 8 to 66)                                                                                                                                                                                                           ","                                                ","US                                                                                                                                                                                                                                                             ","Alabama Parenting Questoinaire-Parent Report (42 items in total)                                                                                                                                                                                               ",NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Social Skills Rating System (38 items)                                                                                                                                                         ","Nee","Ja","both","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",15.25,4.61,102.6,NA,0.2,NA,NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee",FALSE,"19__Monitoring(R)_Prosocialbehavior_",0.22,"Old","Old",TRUE,"survey","Yes","Western","negative","control"
19,19,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","Inc. Discipline                                                                                     ","Prosocial behavior                                                                                  ","                                                                                                    ","        1                                                                                           ","Gryczkowski, Jordan, & Mercer                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                               ",NA,2018,"Moderators of the Relations Between Mothers' and Fathers' Parenting Practices and Children's Prosocial Behavior                                                                                                                                                ","Child Psychiatry and Human Development                                                                                                                                                                                                                         ","10.1007%2Fs10578-017-                                                                                                                                                                                                                                          ","journal article","cross",1,"Years",11.58,3.47,11.58,3.47,50.4,129,129,129,"M=45,42 SD=9,80 (Hollingshead on scale from 8 to 66)                                                                                                                                                                                                           ","                                                ","US                                                                                                                                                                                                                                                             ","Alabama Parenting Questoinaire-Parent Report (42 items in total)                                                                                                                                                                                               ",NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Social Skills Rating System (38 items)                                                                                                                                                         ","Nee","Ja","both","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",12.88,3.76,102.6,NA,0.34,NA,NA,"Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee",TRUE,"19__Inc.Discipline_Prosocialbehavior_",0.28,"Old","Old",TRUE,"survey","Yes","Western","negative","control"
19,19,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","Corp. punishment                                                                                    ","Prosocial behavior                                                                                  ","                                                                                                    ","        1                                                                                           ","Gryczkowski, Jordan, & Mercer                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                               ",NA,2018,"Moderators of the Relations Between Mothers' and Fathers' Parenting Practices and Children's Prosocial Behavior                                                                                                                                                ","Child Psychiatry and Human Development                                                                                                                                                                                                                         ","10.1007%2Fs10578-017-                                                                                                                                                                                                                                          ","journal article","cross",1,"Years",11.58,3.47,11.58,3.47,50.4,129,129,129,"M=45,42 SD=9,80 (Hollingshead on scale from 8 to 66)                                                                                                                                                                                                           ","                                                ","US                                                                                                                                                                                                                                                             ","Alabama Parenting Questoinaire-Parent Report (42 items in total)                                                                                                                                                                                               ",NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Social Skills Rating System (38 items)                                                                                                                                                         ","Nee","Ja","both","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",4.89,1.97,102.6,NA,0.25,NA,NA,"Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",TRUE,"19__Corp.punishment_Prosocialbehavior_",0.26,"Old","Old",TRUE,"survey","Yes","Western","negative","negative"
20,20,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","induc discipline                                                                                    ","prosocial beh                                                                                       ","                                                                                                    ","                                                                                                    ","Guevara, I. P., Cabrera, V. E., Gonzalez, M. R., & Devis, J. V.                                                                                                                                                                                                ","                                                                                                                                                                                                                                                               ",NA,2015,"Empathy and sympathy as mediators between parental inductive discipline and prosocial behavior in colombian families.                                                                                                                                          ","International Journal of Psychological Research                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                               ","2015","cross",1,"Years",15.17,NA,15.17,NA,50.2,239,239,239,"34.4% high (n = 82), 30% medium (n = 69), 31% low (n = 74) educational level according tot CEPAL ""household educational climate""                                                                                                                               ","                                                ","CO                                                                                                                                                                                                                                                             ","eight-question questionnaire by Barrera (2003)                                                                                                                                                                                                                 ",NA,"Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Questionnaire on Situations and Emotions (Chaux, Castro, Daza, Diaz, & Hurtado, 2004)                                                                                                          ","Nee","Nee","0","Ja","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",4.22,0.63,3.89,0.6,0.23,0.35,NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee",FALSE,"20__inducdiscipline_prosocialbeh__",0.21,"Old","Old",FALSE,"survey","Yes","Non-Western","negative","control"
21,21,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","harsh parenting                                                                                     ","Altruism                                                                                            ","                                                                                                    ","                                                                                                    ","Guo, Q., & Feng, L. (2017)                                                                                                                                                                                                                                     ","                                                                                                                                                                                                                                                               ",NA,2017,"The associations between perceived parenting styles, empathy, and altruistic choices in economic games: A study of chinese children.                                                                                                                           ","Frontiers in Psychology                                                                                                                                                                                                                                        ","10.3389/fpsyg.2017.01843                                                                                                                                                                                                                                       ","journal article","cross",1,"Years",8.92,1.04,8.92,1.04,48.79,494,NA,NA,"Geen informatie                                                                                                                                                                                                                                                ","                                                ","China                                                                                                                                                                                                                                                          ","Short-form egna minnen Betraffande Uppfostran (chinese version) (Jiang et al., 2010)                                                                                                                                                                           ",NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Dictator game                                                                                                                                                                                  ","Nee","Nee","0","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.12,0.63,NA,"Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",TRUE,"21__harshparenting_Altruism__",0.13,"Young","Med",TRUE,"survey","Yes","Non-Western","negative","negative"
21,21,"yes","                                                                                                                                                                                                                                                               ","mother","                                                                                                    ","warmth                                                                                              ","Altruism                                                                                            ","                                                                                                    ","                                                                                                    ","Guo, Q., & Feng, L. (2017)                                                                                                                                                                                                                                     ","                                                                                                                                                                                                                                                               ",NA,2017,"The associations between perceived parenting styles, empathy, and altruistic choices in economic games: A study of chinese children.                                                                                                                           ","Frontiers in Psychology                                                                                                                                                                                                                                        ","10.3389/fpsyg.2017.01843                                                                                                                                                                                                                                       ","journal article","cross",1,"Years",8.92,1.04,8.92,1.04,48.79,494,NA,NA,"Geen informatie                                                                                                                                                                                                                                                ","                                                ","China                                                                                                                                                                                                                                                          ","Short-form egna minnen Betraffande Uppfostran (chinese version) (Jiang et al., 2010)                                                                                                                                                                           ",NA,"Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Dictator game                                                                                                                                                                                  ","Nee","Nee","0","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,0.07,0.77,NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",FALSE,"21__warmth_Altruism__",0.05,"Young","Med",TRUE,"survey","Yes","Non-Western","positive","positive"
